,society_name,property_title,property_rent,types_of_rooms_available,furnishing_details_lst,bedroom_count,bathroom_count,balcony_count,superBuiltUp_area_sqft,carpet_area_sqft,address_lst,available_for,furnishing_type,available_from,Posted_By_and_On,Flooring,Floor_Number,Power_Backup,Property_Age,Months_of_Notice,Gated_Community,Electricity_n_Water_Charges,property_features,avg_rating
10,Apollo DB City,3 BHK Flat for rent,"₹35,200 /month",None,None,3 Bedrooms,2 Bathrooms,2 Balconies,1982,1300,"Apollo DB City
Nipania, Indore",All,None,Immediate,"Dealer on May 08, 2024",Marble,5th   of 13 Floors,Partial,5 to 10 Year Old,1 Months,Yes,Charges not included,"Centrally Air Conditioned
Water purifier
Security / Fire Alarm
Power Back-up
Feng Shui / Vaastu Compliant
Intercom Facility
Lift(s)
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Water Storage
No open drainage around
Piped-gas
Internet/wi-fi connectivity
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Spacious Interiors
Waste Disposal
Rain Water Harvesting
Shopping Centre
Fitness Centre / GYM
Club house / Community Center",4.1
11,Apollo DB City,3 BHK Flat for rent,"₹40,400 /month",None,None,3 Bedrooms,3 Bathrooms,1 Balcony,None,2142,"Apollo DB City
Nipania, Indore",All,None,Immediate,"Dealer on Jul 03, 2024",Marble,6th   of 15 Floors,Full,1 to 5 Year Old,2 Months,Yes,Charges not included,"Security / Fire Alarm
Power Back-up
Feng Shui / Vaastu Compliant
Lift(s)
Water purifier
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Water Storage
Separate entry for servant room
No open drainage around
Recently Renovated
Visitor Parking
Swimming Pool
Park
Security Personnel
Natural Light
Airy Rooms
Spacious Interiors
Shopping Centre
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center",4.1
12,sahil residency,3 BHK Flat for rent,"₹50,000 /month",None,None,3 Bedrooms,3 Bathrooms,3 Balconies,None,1850,"sahil residency
Pipliyahana, Indore",Family Only,None,Immediate,"Dealer on May 13, 2024",None,8th   of 11 Floors,None,1 to 5 Year Old,1 Months,None,Charges not included,"Security / Fire Alarm
Intercom Facility
Lift(s)
Maintenance Staff
False Ceiling Lighting
Water Storage
Piped-gas",4.0
13,"Vijay Nagar , Indore",2 Bedroom House for rent,"₹19,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,None,"Vijay Nagar , Indore",Family Only,None,Immediate,"Dealer on Jun 28, 2024",Ceramic,None,Full,1 to 5 Year Old,6 Months,None,Charges not included,"Private Garden / Terrace
Water Storage
Park
Rain Water Harvesting",4.4
14,Mirchandani Shalimar Palms,3 BHK Flat for rent,"₹25,000 /month",None,None,3 Bedrooms,3 Bathrooms,2 Balconies,1640,None,"Mirchandani Shalimar Palms
Bicholi Mardana, Indore",Family Only,None,Immediate,"Dealer on Jul 01, 2024",Vitrified,5th   of 7 Floors,Partial,10+ Year Old,1 Months,Yes,Charges not included,None,4.0
15,Tirumala greens phase -I,2 BHK Flat for rent,"₹15,500 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,1000,650,"Tirumala greens phase -I
Nipania, Indore",Family Only,None,Immediate,"Owner on Jun 15, 2024",Ceramic,1st   of 3 Floors,None,0 to 1 Year Old,2 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Private Garden / Terrace
Water Storage
No open drainage around
Park
Visitor Parking
Security Personnel
Natural Light
Airy Rooms
Spacious Interiors
Low Density Society
Rain Water Harvesting",4.3
16,"Scheme No 114, Indore",1 Bedroom House for rent,"₹16,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,None,None,"Scheme No 114 Indore, Indore",Family Only,None,None,"Dealer on Jun 18, 2024",Vitrified,None,Partial,5 to 10 Year Old,1 Months,None,Charges not included,"False Ceiling Lighting
Water Storage
No open drainage around
Visitor Parking",None
17,rudraksha pride,2 BHK Flat for rent,"₹12,000 /month",None,None,2 Bedrooms,2 Bathrooms,2 Balconies,1037,741,"rudraksha pride
Rau Pitampur Road , Indore",Family Only,None,Immediate,"Dealer on Jun 18, 2024",Ceramic,2nd   of 6 Floors,None,0 to 1 Year Old,2 Months,Yes,Charges not included,None,None
18,Saakaar Atlanta Aura,3 BHK Flat for rent,"₹40,000 /month",None,None,3 Bedrooms,3 Bathrooms,2 Balconies,2655,1790,"Saakaar Atlanta Aura
Nipania, Indore",Family Only,None,None,"Dealer on Jun 18, 2024",Marble,7th   of 10 Floors,Full,5 to 10 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Intercom Facility
Lift(s)
Maintenance Staff
Water Storage
No open drainage around
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Spacious Interiors
Low Density Society
Shopping Centre
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center",4.3
19,Orange BCM Park,2 BHK Flat for rent,"₹35,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,1430,1000,"Orange BCM Park
Pipliya Kumar, Indore",Family Only,None,None,"Dealer on Jun 18, 2024",None,6th   of 14 Floors,None,1 to 5 Year Old,1 Months,None,Charges not included,"Feng Shui / Vaastu Compliant
Security / Fire Alarm
Intercom Facility
Lift(s)
Water purifier
Maintenance Staff
Water Storage
Park
Visitor Parking
Natural Light
Airy Rooms
Spacious Interiors",None
20,Siddhivinayak Maple Woods,3 BHK Flat for rent,"₹30,000 /month",None,None,3 Bedrooms,3 Bathrooms,3 Balconies,2206.4,1450,"Siddhivinayak Maple Woods
Pipliya Kumar, Indore",All,None,None,"Dealer on Jun 11, 2024",Ceramic,8th   of 16 Floors,Full,5 to 10 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Intercom Facility
Lift(s)
Maintenance Staff
Water Storage
No open drainage around
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Internet/wi-fi connectivity
Spacious Interiors
Shopping Centre
Fitness Centre / GYM
Waste Disposal
Rain Water Harvesting
Club house / Community Center",None
21,Mirchandani Shalimar Palms,2 BHK Flat for rent,"₹17,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,1200,None,"Mirchandani Shalimar Palms
Bicholi Mardana, Indore",Family Only,None,Immediate,"Dealer on Jul 01, 2024",Vitrified,6th   of 7 Floors,Partial,10+ Year Old,1 Months,Yes,Charges not included,None,4.0
22,Apollo DB City,1 BHK Flat for rent,"₹21,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,630,450,"Apollo DB City
Nipania, Indore",All,None,None,"Dealer on Jun 14, 2024",Vitrified,7th   of 15 Floors,Full,5 to 10 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Power Back-up
Feng Shui / Vaastu Compliant
Lift(s)
High Ceiling Height
Maintenance Staff
Water Storage
No open drainage around
Visitor Parking
Swimming Pool
Park
Natural Light
Airy Rooms
Internet/wi-fi connectivity
Spacious Interiors
Shopping Centre
Fitness Centre / GYM
Rain Water Harvesting
Club house / Community Center",4.1
23,County Walk Villa Kent,3 Bedroom House for rent,"₹20,000 /month",None,None,3 Bedrooms,3 Bathrooms,1 Balcony,None,None,"County Walk Villa Kent
Jhalaria, Indore",Family Only,None,Immediate,"Dealer on Jul 01, 2024",Vitrified,None,None,0 to 1 Year Old,1 Months,Yes,Charges not included,None,3.8
24,"Casa Greens, Indore",2 Bedroom House for rent,"₹21,000 /month",None,None,2 Bedrooms,3 Bathrooms,1 Balcony,None,None,"Casa Greens, Indore",Family Only,None,None,"Dealer on Jul 04, 2024",Vitrified,None,Partial,1 to 5 Year Old,1 Months,Yes,Charges not included,"Private Garden / Terrace
Maintenance Staff
Water Storage
Visitor Parking
Rain Water Harvesting",None
