,society_name,property_title,property_rent,types_of_rooms_available,furnishing_details_lst,bedroom_count,bathroom_count,balcony_count,superBuiltUp_area_sqft,carpet_area_sqft,address_lst,available_for,furnishing_type,available_from,Posted_By_and_On,Flooring,Floor_Number,Power_Backup,Property_Age,Months_of_Notice,Gated_Community,Electricity_n_Water_Charges,property_features,avg_rating
10,ABL Palm Exotica,3 Bedroom House for rent,"₹25,000 /month",None,None,3 Bedrooms,3 Bathrooms,1 Balcony,None,980,"ABL Palm Exotica
Mahalaxmi Nagar, Indore",All,None,None,"Owner on Jun 30, 2024",Ceramic,None,None,5 to 10 Year Old,1 Months,Yes,Charges not included,None,4.3
11,House No. 43 Gulab Bagh Colony,1 Bedroom House for rent,"₹11,500 /month",None,None,1 Bedroom,1 Bathroom,No Balcony,None,400,"House No. 43 Gulab Bagh Colony
Vijay Nagar , Indore",Family Only,None,None,"Owner on Jun 29, 2024",Ceramic,None,Full,5 to 10 Year Old,1 Months,None,Charges not included,None,4.4
12,royal residency world cup sqaure,4 Bedroom House for rent,"₹8,000 /month",None,None,4 Bedrooms,4 Bathrooms,1 Balcony,None,None,"royal residency world cup sqaure
world cup sqaure, Indore",Bachelors (Men/Women),None,None,"Owner on Jun 29, 2024",Marble,None,None,5 to 10 Year Old,1 Months,Yes,Charges not included,None,None
13,Ln city,Studio Apartments / 1 RK Flats for rent,"₹6,500 /month",None,None,1 Room,1 Bathroom,1 Balcony,None,400,"Ln city
Gandhi Nagar, Indore","Family , Bachelors (Women Only)",None,None,"Owner on Jun 29, 2024",Vitrified,1st   of 3 Floors,None,1 to 5 Year Old,1 Months,Yes,Charges not included,None,None
14,"Mhow, Indore",3 Bedroom House for rent,"₹8,000 /month",None,None,3 Bedrooms,3 Bathrooms,2 Balconies,None,None,"Mhow, Indore",Family Only,None,None,"Owner on Jun 29, 2024",None,None,None,5 to 10 Year Old,0 Months,None,Charges not included,None,4.1
15,primeum Paradis,3 BHK Flat for rent,"₹25,000 /month",None,None,3 Bedrooms,3 Bathrooms,2 Balconies,1650,None,"primeum Paradis
Snehlataganj, Indore",Family Only,None,None,"Owner on Jun 29, 2024",None,4th   of 4 Floors,None,5 to 10 Year Old,0 Months,None,Charges included,None,None
16,Vallabh Lifestyle,1 BHK Flat for rent,"₹9,000 /month",None,None,1 Bedroom,1 Bathroom,1 Balcony,None,410,"Vallabh Lifestyle
Limbodi, Indore",Bachelors (Men/Women),None,None,"Owner on Jun 29, 2024",Marble,1st   of 4 Floors,None,Under Construction,1 Months,None,Charges not included,None,3.9
17,Narang Silver Park,3 Bedroom House for rent,"₹10,000 /month",None,None,3 Bedrooms,3 Bathrooms,1 Balcony,None,None,"Narang Silver Park
AB Bypass Road, Indore",All,None,None,"Owner on Jun 29, 2024",Vitrified,None,None,1 to 5 Year Old,0 Months,Yes,Charges included,None,4.2
18,indipendent,2 BHK Flat for rent,"₹20,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,800,"indipendent
Chandra Nagar, Indore",All,None,None,"Owner on Jun 29, 2024",Granite,1st   of 3 Floors,None,0 to 1 Year Old,1 Months,None,Charges not included,None,None
19,140-B,2 Bedroom House for rent,"₹16,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,None,"140-B
Surya Dev Nagar, Indore",All,None,None,"Owner on Jun 29, 2024",Stone,None,None,5 to 10 Year Old,2 Months,None,Charges not included,Park,3.9
20,pradeep apartment bargal complex,1 BHK Flat for rent,"₹15,000 /month",None,None,1 Bedroom,2 Bathrooms,1 Balcony,1000,None,"pradeep apartment bargal complex
Palsikar Colony, Indore",Bachelors (Women Only),None,None,"Owner on Jun 28, 2024",None,1st   of 3 Floors,None,5 to 10 Year Old,0 Months,None,Charges included,None,None
21,Aravalli Parisar,3 BHK Flat for rent,"₹17,500 /month",None,None,3 Bedrooms,2 Bathrooms,1 Balcony,1151,None,"Aravalli Parisar
Bhuri Tekri, Indore",All,None,None,"Owner on Jun 27, 2024",None,8th   of 9 Floors,None,0 to 1 Year Old,0 Months,None,Charges not included,None,None
22,Nehal Avenue,3 BHK Flat for rent,"₹15,000 /month",None,None,3 Bedrooms,2 Bathrooms,1 Balcony,None,None,"Nehal Avenue
Goyal Nagar, Indore",Family Only,None,None,"Owner on Jun 27, 2024",Vitrified,1st   of 3 Floors,None,10+ Year Old,1 Months,Yes,Charges not included,"Maintenance Staff
Water Storage",None
23,Geetanjali Residency,2 Bedroom House for rent,"₹10,000 /month",None,None,2 Bedrooms,2 Bathrooms,1 Balcony,None,None,"Geetanjali Residency
Palhar Nagar, Indore",Bachelors (Men Only),None,None,"Owner on Jun 27, 2024",Ceramic,None,None,0 to 1 Year Old,1 Months,None,Charges not included,None,None
24,Skye Luxuria 20,4 BHK Flat for rent,₹1.25 Lac /month,None,None,4 Bedrooms,4 Bathrooms,3+ Balconies,3500,None,"Skye Luxuria 20
Vijay Nagar , Indore",Family Only,None,None,"Owner on Jun 26, 2024",None,17th   of 23 Floors,Full,Under Construction,2 Months,Yes,Charges not included,"Feng Shui / Vaastu Compliant
Security / Fire Alarm
Intercom Facility
Lift(s)
Maintenance Staff
Swimming Pool
Water Storage
Park
Piped-gas
Visitor Parking
Fitness Centre / GYM
Club house / Community Center",None
